date,PUNO,PAMPAHUTA,AYAVIRI
01/01/1960,13.8,4,12.3
01/02/1960,6.3,0,22.8
01/03/1960,0.6,2.1,0.2
01/04/1960,1.5,9.2,0
01/05/1960,5,10.3,10.8
01/06/1960,3.4,0,1.1
01/07/1960,0,0,0
01/08/1960,0,0,0
01/09/1960,13.1,11.6,8.3
01/10/1960,22.1,34.7,10.5
01/11/1960,4.1,0,1.7
01/12/1960,2.1,6.4,0.4
01/13/1960,3.6,1.3,2.4
01/14/1960,0,0.4,0.3
01/15/1960,0.4,5.3,0
01/16/1960,0.3,1.4,0.1
01/17/1960,6.2,36.8,8.4
01/18/1960,5.3,7.3,8.2
01/19/1960,1.5,0.4,0.3
01/20/1960,0,0,0
01/21/1960,0.8,0.4,0
01/22/1960,4.9,4.4,1.4
01/23/1960,4.2,3.4,2.7
01/24/1960,1.4,17.3,1
01/25/1960,1.3,2.8,10.5
01/26/1960,0,0,2.2
01/27/1960,0,0,0
01/28/1960,0,0,1
01/29/1960,3.9,3.3,4.7
01/30/1960,5.8,8.1,12.5
01/31/1960,4.2,5.1,7.5
02/01/1960,8.2,14,2.8
02/02/1960,1.2,1.7,0.6
02/03/1960,0,3,1.5
02/04/1960,0.3,0.1,9.6
02/05/1960,1.9,2.6,0.8
02/06/1960,10.5,7.9,10.5
02/07/1960,5.3,8.4,10.9
02/08/1960,5.2,8.6,0.1
02/09/1960,0,0.3,0.3
02/10/1960,0.8,0.4,0.1
02/11/1960,0,0,0
02/12/1960,0,3.8,0
02/13/1960,1.7,13.1,8
02/14/1960,1.2,1,1.3
02/15/1960,2,7.4,0.8
02/16/1960,10.8,8.2,9.2
02/17/1960,17.3,1.4,16
02/18/1960,3.3,1.1,2
02/19/1960,1.2,0.9,1.1
02/20/1960,0.1,0.3,0
02/21/1960,7.3,9.4,2.2
02/22/1960,6.4,8.3,2.1
02/23/1960,15.6,18.6,4.3
02/24/1960,0.8,0.1,3.7
02/25/1960,0,0,0
02/26/1960,0.3,0,0
02/27/1960,0,0,0
02/28/1960,0,0,0
02/29/1960,0,0,0
03/01/1960,0,7.7,0
03/02/1960,0,0.1,1
03/03/1960,0,0,0
03/04/1960,0,0,0
03/05/1960,0,0,0
03/06/1960,0,0,0
03/07/1960,0,0,0
03/08/1960,0,0,0
03/09/1960,0,0,0
03/10/1960,0,0,0
03/11/1960,0,0,0
03/12/1960,0,0,0
03/13/1960,0,0,0
03/14/1960,0,0,0
03/15/1960,0,0,0
